dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
-4.293110275268554688e+01,6.124467468261718750e+01,3.035163879394531250e+02,-2.434744644165039062e+01,6.088782119750976562e+01,-2.256788940429687500e+02,-2.167975997924804688e+01,-3.385101318359375000e+01
-2.128594779968261719e+01,7.982127380371093750e+01,2.980282592773437500e+02,-1.138155269622802734e+01,2.432185363769531250e+01,-2.158137512207031250e+02,-4.536851119995117188e+01,-2.242722320556640625e+01
-4.575225448608398438e+01,7.039287567138671875e+01,3.337862854003906250e+02,-2.089447593688964844e+01,5.796721649169921875e+01,-2.427612609863281250e+02,-2.284982490539550781e+01,-3.281669998168945312e+01
-4.659028625488281250e+01,5.194399642944335938e+01,2.812077941894531250e+02,-2.065016746520996094e+01,6.194857788085937500e+01,-2.076764678955078125e+02,-9.560206413269042969e+00,-3.121887969970703125e+01
-3.983877563476562500e+01,7.125498199462890625e+01,3.259055786132812500e+02,-1.448752784729003906e+01,5.280904388427734375e+01,-2.399189453125000000e+02,-2.881774330139160156e+01,-2.984178924560546875e+01
-4.488258743286132812e+01,6.218015670776367188e+01,3.124179992675781250e+02,-2.416643714904785156e+01,6.281118011474609375e+01,-2.315978546142578125e+02,-2.095682907104492188e+01,-3.404824447631835938e+01
-2.690820884704589844e+01,5.795176315307617188e+01,2.485393981933593750e+02,-9.188707351684570312e+00,3.854292678833007812e+01,-1.853907623291015625e+02,-2.997222709655761719e+01,-2.348565673828125000e+01
-2.440876579284667969e+01,7.678187561035156250e+01,2.924183959960937500e+02,-1.493398857116699219e+01,2.694753074645996094e+01,-2.096998596191406250e+02,-4.164546203613281250e+01,-2.328256988525390625e+01
-5.700726318359375000e+01,7.790247344970703125e+01,3.746699829101562500e+02,-1.435526752471923828e+01,7.601024627685546875e+01,-2.727345886230468750e+02,-2.561261177062988281e+01,-3.947422027587890625e+01
-4.488230895996093750e+01,7.002178192138671875e+01,3.298615722656250000e+02,-2.119131088256835938e+01,5.708460617065429688e+01,-2.404457244873046875e+02,-2.402685165405273438e+01,-3.256971359252929688e+01
7.425520420074462891e-01,3.904405236244201660e-01,1.871313899755477905e-01,-6.444964557886123657e-02,-9.182454943656921387e-01,3.978124558925628662e-01,1.742187291383743286e-01,-4.090387821197509766e-01
5.471434593200683594e-01,2.711021304130554199e-01,1.498707085847854614e-01,-7.116561383008956909e-02,-5.659039020538330078e-01,2.713873684406280518e-01,1.204333156347274780e-01,-1.157924234867095947e-01
1.724423468112945557e-01,-3.958907127380371094e-01,2.592404782772064209e-01,-1.085206866264343262e-02,1.130364686250686646e-01,-2.265324294567108154e-01,-3.545837998390197754e-01,-1.845400929450988770e-01
3.721993565559387207e-01,4.268089532852172852e-01,3.362108469009399414e-01,-2.962116897106170654e-01,-6.629169583320617676e-01,3.352885544300079346e-01,2.394499778747558594e-01,-1.977435648441314697e-01
7.080000638961791992e-01,4.396809935569763184e-01,2.865872383117675781e-01,-7.113587111234664917e-02,-8.871041536331176758e-01,4.004822075366973877e-01,1.548939943313598633e-01,-3.181755542755126953e-01
5.735846757888793945e-01,6.133621335029602051e-01,4.237802326679229736e-01,-1.671618819236755371e-01,-8.055601716041564941e-01,6.101398468017578125e-01,3.176147937774658203e-01,-2.620686590671539307e-02
7.982550561428070068e-02,-4.762809276580810547e-01,3.726453781127929688e-01,1.978663206100463867e-01,4.132427573204040527e-01,-1.543556451797485352e-01,-5.096392035484313965e-01,-9.506620466709136963e-02
5.227649211883544922e-01,2.967216372489929199e-01,1.250994950532913208e-01,-4.712945222854614258e-02,-5.344945192337036133e-01,3.067891597747802734e-01,1.330814957618713379e-01,-1.011330932378768921e-01
-5.630499124526977539e-02,-1.549908816814422607e-01,4.639756083488464355e-01,7.988569140434265137e-02,5.439899861812591553e-02,5.216616988182067871e-01,4.384847283363342285e-01,5.480817556381225586e-01
3.427771329879760742e-01,4.343820810317993164e-01,2.711983323097229004e-01,-4.182429909706115723e-01,-4.091105163097381592e-01,3.492818474769592285e-01,1.315932422876358032e-01,-1.232425570487976074e-01
6.483980417251586914e-01,8.356379866600036621e-01,5.823334455490112305e-01,-1.584441512823104858e-01,-9.968487024307250977e-01,8.784025311470031738e-01,4.556735157966613770e-01,8.145645260810852051e-03
3.828749060630798340e-01,-5.551955848932266235e-02,1.256714463233947754e-01,-1.940080970525741577e-01,-3.882313966751098633e-01,1.258976459503173828e-01,1.282588839530944824e-01,-9.847235679626464844e-02
5.169588923454284668e-01,3.202937841415405273e-01,2.786280512809753418e-01,-2.615889012813568115e-01,-6.683056950569152832e-01,1.842731237411499023e-01,1.020690500736236572e-01,-2.139039635658264160e-01
5.382937192916870117e-01,4.674630165100097656e-01,1.590982824563980103e-01,-3.105040490627288818e-01,-7.361783385276794434e-01,2.891271114349365234e-01,1.063321530818939209e-01,-4.276762604713439941e-01
5.664360523223876953e-02,-4.197912216186523438e-01,3.694886863231658936e-01,1.577338576316833496e-01,3.595070838928222656e-01,-5.026978254318237305e-02,-3.902108967304229736e-01,1.293988525867462158e-02
3.921056985855102539e-01,3.009694218635559082e-01,4.108493030071258545e-01,-2.282589673995971680e-01,-7.877467274665832520e-01,6.077059507369995117e-01,4.715963900089263916e-01,4.116915166378021240e-02
3.167304396629333496e-01,-8.665686100721359253e-02,9.212572872638702393e-02,-1.089551374316215515e-01,-2.586681842803955078e-01,3.461040556430816650e-03,-1.064971089363098145e-01,-1.944264769554138184e-01
8.156967759132385254e-01,9.786912202835083008e-01,3.333749175071716309e-01,-1.190018206834793091e-01,-1.185927271842956543e+00,8.140817284584045410e-01,4.967113435268402100e-01,-6.094849109649658203e-01
2.032176852226257324e-01,-1.444700062274932861e-01,2.499537765979766846e-01,-1.229405850172042847e-01,1.425296068191528320e-03,-9.866146743297576904e-02,-2.760713100433349609e-01,-2.006462514400482178e-01
2.095678448677062988e-01,3.193560987710952759e-02,2.892408668994903564e-01,-1.880382746458053589e-01,-1.326736807823181152e-01,1.726626753807067871e-01,7.446135580539703369e-02,1.938202679157257080e-01
4.368405938148498535e-01,-6.327629089355468750e-04,1.059672832489013672e-01,-1.321450769901275635e-01,-3.659123778343200684e-01,5.058914422988891602e-02,6.717368960380554199e-02,2.027529478073120117e-02
5.629765987396240234e-01,3.781977891921997070e-01,5.063217282295227051e-01,-1.758624166250228882e-01,-8.498735427856445312e-01,3.004348576068878174e-01,1.451607644557952881e-01,-7.299417257308959961e-02
2.133482843637466431e-01,-2.194283902645111084e-01,1.837387084960937500e-01,-1.381051689386367798e-01,-7.305462658405303955e-02,-1.586490869522094727e-01,-2.162065953016281128e-01,-1.394664049148559570e-01
2.580649256706237793e-01,7.764850258827209473e-01,6.741863489151000977e-01,-3.283777236938476562e-01,-4.729210138320922852e-01,8.633295297622680664e-01,6.709704399108886719e-01,2.361903637647628784e-01
1.472477465867996216e-01,-2.605286985635757446e-02,2.591634690761566162e-01,-8.103466778993606567e-02,-1.691372990608215332e-01,2.561125457286834717e-01,2.133064717054367065e-01,2.108971774578094482e-01
7.707117199897766113e-01,9.366228580474853516e-01,4.768929779529571533e-01,-1.645356118679046631e-01,-1.191156148910522461e+00,7.337572574615478516e-01,4.064861238002777100e-01,-5.699363946914672852e-01
2.411035001277923584e-01,2.155954390764236450e-02,2.093968242406845093e-01,-2.090553492307662964e-01,-4.585839509963989258e-01,5.148878097534179688e-01,4.906075894832611084e-01,2.184797823429107666e-01
5.510370135307312012e-01,5.793356299400329590e-01,2.043921053409576416e-01,-3.240068852901458740e-01,-7.006483674049377441e-01,4.241545796394348145e-01,1.205659061670303345e-01,-3.934727311134338379e-01
2.216015309095382690e-01,-2.960339188575744629e-01,2.155215591192245483e-01,4.107290506362915039e-02,4.493488371372222900e-02,-1.174732074141502380e-01,-3.183217644691467285e-01,-1.549193263053894043e-01
3.209571838378906250e-01,-1.211827769875526428e-01,1.752472966909408569e-01,3.145283460617065430e-02,-1.015815064311027527e-01,1.411464065313339233e-02,-2.009614408016204834e-01,-9.345647692680358887e-02
5.473845005035400391e-01,1.885790973901748657e-01,1.368057280778884888e-01,-7.380876690149307251e-02,-6.074534654617309570e-01,3.163065016269683838e-01,1.518960595130920410e-01,-2.000840306282043457e-01
2.127527892589569092e-01,-1.484199315309524536e-01,2.521137297153472900e-01,-1.471492350101470947e-01,-3.071367740631103516e-02,-1.256348490715026855e-01,-2.783167958259582520e-01,-2.390305995941162109e-01
6.851298213005065918e-01,6.617280244827270508e-01,4.385934472084045410e-01,-2.211745083332061768e-01,-1.006247639656066895e+00,4.488332569599151611e-01,1.521412432193756104e-01,-4.223758578300476074e-01
4.056661427021026611e-01,2.644109725952148438e-01,2.425071150064468384e-01,-3.555274009704589844e-02,-3.906204700469970703e-01,3.599579930305480957e-01,2.476072609424591064e-01,1.180423796176910400e-01
5.317682027816772461e-01,3.735863566398620605e-01,5.771176218986511230e-01,-2.016219943761825562e-01,-8.884097337722778320e-01,3.145564198493957520e-01,1.556523889303207397e-01,-4.961147904396057129e-03
